image,code_g,cell_type,height,width,chemin
BA_100102.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_101381.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_101611.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_102039.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_102750.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_10387.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_10622.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_107595.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_107876.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_111710.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_112418.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_114542.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_114899.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_115323.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_115777.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_116477.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_119131.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_119883.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_120278.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_120688.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_121453.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_121897.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_1223.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_124389.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_124620.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_124938.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_126411.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_126424.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_126839.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_127306.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_127671.jpg,BA,basophil,369,366,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_127868.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_128084.jpg,BA,basophil,369,366,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_128423.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
BA_129537.jpg,BA,basophil,363,360,D:\Work - Data\Projects\Red Blood Cells\Images\Mendeley_Data_Barcelona\Basophil\
